name,slug,icon_img_url,accent_hex
Graphisme,graphisme,,
Musique,musique,,
Architecture,architecture,,
Cinéma,cinema,,
Photo,photo,,
Mode,mode,,
Design,design,,
Peinture,peinture,,
Cuisine,cuisine,,
